Report	Description	Product	Report Analyst	Associated ask channel	Category	Support Domain	key	Product Requirement	Rank	Product PM	Associated Product	Associated Suite	Assignment Confident Level
Lease Execution Summary (Application)	The Lease Execution Summary Application Report display the progress of applications through the leasing process. For those using the Independent Lease Progression setting please use the Lease Execution Summary Applicant Report. Report excludes Other Income profiles.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	lease_execution_summary_(application)	LeaseExecution			LeaseExecution	N/A	
Lease Term Progress Summary	The Lease Term Progress Summary report provides both a snapshot of where leads are in the leasing process (Leads In Status) and how much time leads are taking in each step of the leasing process (Days In Status).	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	lease_term_progress_summary	Entrata Core			Online Application	Leasing	
Lease Trade-out	The purpose of the Lease Trade-out report is to show all lease trade-outs for a given period. The report allows the user to see how much money is being gained or lost between leases for a specific unit.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	lease_trade-out	Entrata Core, LeaseExecution	11-20			N/A	
Lease Trade-out - Insert Data	Lease Trade-out - Insert Data	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	lease_trade-out_-_insert_data	No Product Requirement				N/A	
Lease Trade-out - Prior Month	Lease Trade-out - Prior Month	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	lease_trade-out_-_prior_month	No Product Requirement				N/A	
Leases with Multiple Recurring Payments	The Leases with Multiple Recurring Payments report will list all recurring payments that are on the same lease. This report will help to ensure that residents do not have more than one recurring payment set up and that residents with more than one lease payee are not overpaying.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Payments	Reports	leases_with_multiple_recurring_payments	No Product Requirement			Financial Operations - Payments	Property Ops Experience	
Leases with Multiple Rent Charges	The Leases with Multiple Rent charges report shows which resident were double billed rent for the post month selected.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	System	Reports	duplicate_rent_charges	Entrata Core				N/A	
Leases Without Rent Charges	The Leases without Rent Charges reports shows you how many leases were not charged rent for that post month.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	System	Reports	leases_without_rent_charges	Entrata Core				N/A	
Leasing Activity Summary	This report will allow you to view move-in/move-out activity of military residents based on their pay grades, and see the total net move-in count for selected date range. Currently, only clients that have access to the military product can use this report.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	leasing_activity_summary	Entrata Military				N/A	
Leasing Center Conversion	The Leasing Center Conversion report shows statistics concerning the conversion of lead contact with Leasing Center into key events. Must have Leasing Center to run report.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Communications	Reports	leasing_center_conversion	CallTracking, Leasing Center, Historical Access			Leasing Center	Tech-Enabled Services	
Leasing Goals	The Leasing Goals report, which corresponds to the Leasing Goals Setup and Dashboard, allows the user to see progress on pre-leasing goals for Renewals and New Lease at a property level or see pre-leasing progress for Renewals and New Leases at a unit type level.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	leasing_goals	Entrata Core			Resident Operations - Sub-Vertical - Student	Property Ops Experience	
Leasing Intelligence Dashboard	This is an internal only report that will provide the necessary data for the Leasing Intelligence Dashboard that was created by the product team.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	leasing_intelligence_dashboard	No Product Requirement			Lead Management	Marketing	
Leasing Performance	The Leasing performance report allows you to view metrics pertaining to property or leasing agent stats. It is a combination of four reports including Traffic and events, Lead conversion, Neglected Leads and Tour conversion.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	leasing_performance	No Product Requirement				N/A	
Leasing Performance New	The Leasing Performance Report allows you to view key metrics pertaining to property or leasing agent stats. Report excludes Other Income profiles.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	leasing_performance_new	No Product Requirement				N/A	
LeasingCenter Responsiveness	The Leasing Center Responsiveness report shows the rate in which the Leasing Center answers calls.  Must have Leasing Center to run report.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Communications	Reports	leasingcenter_responsiveness	No Product Requirement			Leasing Center	Tech-Enabled Services	
Live Chat By Interval	The Live Chat By Interval report shows incoming chats broken down by hour, day of the week, and status.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Communications	Reports	live_chat_by_interval	No Product Requirement				N/A	
Maintenance Quarterly	The Maintenance Quarterly report is a military report that shows the total number of service requests and the variance in time it takes to respond and complete. The report breaks it down by priority level of the requests as well.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Maintenance	Reports	maintenance_quarterly	Entrata Core, ResidentPortal, Facilities Management			Asset Operations - Facilities Management	Property Ops Experience	
Maintenance Summary	The Maintenance Summary report will show a breakdown of work orders and the time it takes to complete them. You can view this report by Day, Month, or Hours.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Maintenance	Reports	maintenance_summary	No Product Requirement			Asset Operations - Facilities Management	Property Ops Experience	
Maintenance Survey Responses	Maintenance Survey Responses report will show responses from maintenance surveys taken.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Maintenance	Reports	maintenance_survey_responses	ResidentPortal			Asset Operations - Facilities Management	Property Ops Experience	
Make Ready	The Make Ready report details units that are in the process of being made ready for a new move-in, including the progress of each configured make ready subtask.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Maintenance	Reports	make_ready	No Product Requirement			Asset Operations - Facilities Management	Property Ops Experience	
Make Ready Detail Analysis	The Make Ready Details Analysis report will show you a break down of the costs and time associated to all Make Ready requests performed during a specified period of time.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Maintenance	Reports	make_ready_detail_analysis	No Product Requirement			Asset Operations - Facilities Management	Property Ops Experience	
Management Fees	The Management Fees report gives you information on the management fee costs a property has to pay, and how that fee is calculated. Note for Percent of Revenue users: If adjustments to revenue are made after the fee has been generated, the Total Revenue and Management Fee Due on the report will not match the amounts on the Management Fee Invoice.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	management_fees	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
Market Rent Schedule	This report enables the user to easily validate that the units are setup appropriately and allows you to compare rentable values of occupied units to those that have potential tenants in order to determine and set appropriate rates.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	market_rent_schedule	Entrata Core				N/A	
Market Survey	The Market Survey report allows the user to select a property and competitor and then compare and contrast their information across a wide variety of data sets.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Marketing	Reports	market_survey	No Product Requirement				N/A	
Master Policy Details	This report is intended to provide details for your monthly Master Policy invoice. specifically, the date of when your policy starts, the charge code, and your resident's premium amount.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	master_policy_details	Renters Insurance				N/A	
Merchant Account Audit	The Merchant Account Audit report will generate a list of the Merchant Accounts within your properties.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	System	Reports	merchant_account_audit	No Product Requirement				N/A	
Messages Sent	The Message Sent report shows details about the messages that were sent showing things like opened, clicked, dropped etc.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Communications	Reports	message_sent	No Product Requirement				N/A	
Mid-Lease Rent Increases	This report displays rent increases that happen mid-lease without a new lease generation.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	mid-lease_rent_increases	No Product Requirement					
Migration Resident Data	This report allows you to select which resident related data fields to use, from a list of available data elements, in order to generate a report specific to information on your residents.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	System	Reports	migration_resident_data	No Product Requirement			-- Migrations	N/A	
Migration Verification Checklist	This is to aid the migration team while verifying the data after migrating a new property. Currently they must run many different reports.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	System	Reports	migration_verification_checklist	Entrata Core			-- Migrations	N/A	
Military Box Score	The purpose of this report is to provide occupancy and weekly activity information for military properties	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	military_box_score	Entrata Military			Entrata Military	N/A	
Military Quarterly Occupancy By Rank	This report will allow you to see detailed information regarding the occupancy rate of a property's unit by rank on a quarterly basis. Currently, only clients that have access to the military product can use this report.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	military_quarterly_occupancy_by_rank	Entrata Military			Resident Operations - Sub-Vertical - Military	Property Ops Experience	
Military Scheduled Charges	The Military Scheduled Charges report will allow the user to be able to view military data for military residents, compare current military BAH rates to other years, and view the scheduled charges that are associated to the resident.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	military_scheduled_charges	No Product Requirement			Resident Operations - Sub-Vertical - Military	Property Ops Experience	
MoneyGram Usage	The Money Gram Usage report will show real-time information regarding residents that have activated a Money Gram account. Account number, last payment date, and the number of submitted payments are main fields on the report.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Payments	Reports	money_gram_usage	No Product Requirement			Financial Operations - Payments	Property Ops Experience	
Monthly Reconciliation	The Monthly Reconciliation report summarizes activity for the selected period and reconciles the summarized activity to actual cash receipts.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	monthly_reconciliation_new	Entrata Core	21-30			N/A	
Monthly Reconciliation Journal Entry	This report provides an MRR style report that focuses on the Journal Entry breakout of Debits and Credits.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Reports	monthly_reconciliation_journal_entry_new	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
Move Out Reasons	This report will allow you to view (at a summary level for one or multiple properties) data on how many residents have moved-out within a specific date range and for what specific reason. Currently, there are no required permissions to access and use this report.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	move_out_reasons	No Product Requirement				N/A	
MRI GL Export	This report allows you to export transactions from Entrata formatted to be imported into MRI.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	mri_gl_export	Entrata Core				N/A	
Neglected Leads	The Neglected Leads Report will show how well leads are being managed within the first 48 hours of first contact with the property. No product requirements are necessary to use this report. Report excludes Other Income profiles.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	neglected_leads	No Product Requirement			Lead Management	Marketing	
Non-Integrated Payments (for RealPage only)	Non-Integrated Payments (for RealPage only)	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	System	Reports	non_integrated_payments	No Product Requirement				N/A	
Not Progressing Lead Performance	The Not Progressing Lead Performance Report identifies how well leasing agents/properties are following up with leads who are not progressing. Report excludes Other Income profiles.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	not_progressing_lead_performance	LeadManager				N/A	
NSF	The NSF report lists all check payments marked as non-sufficient funds (NSF).	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	nsf	Entrata Core			Financial Operations - Payments	Property Ops Experience	
Occupancy Vacancy	This report will detail various operations within the specific property; these operations vary from Traffic Sources, Move-ins/Move-outs, Leasing Agent Summary, and prepaid/delinquency charges	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	occupancy_vacancy	Entrata Core, LeadManager				N/A	
On Site Call Breakdown	The On Site Call Breakdown report shows the break down of calls and the result of those calls with the Call Tracker product.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Communications	Reports	on_site_call_breakdown	CallTracking				N/A	
Online Chats	The Live Chat Breakdown report shows statistics regarding the number of chats received by the property as well as key performance indicators.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Communications	Reports	online_chats	ProspectPortal, Message Center, LeadManager				N/A	
Online Leasing Workflow	The Online Leasing Workflow report shows the current status of leads who are in the leasing process (application approved or beyond). The report will help users ensure that leads are progressing through each phase of the leasing process. Report excludes Other Income profiles.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	online_leasing_workflow	No Product Requirement				N/A	
Online Payment Percentage	This report will help properties gauge the success of our Paperless Payment campaign. The report is aimed to provide data that shows how well residents, as a whole, are transitioning to a paperless payment method.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Payments	Reports	online_payment_percentage	No Product Requirement				N/A	
Open Charges By Lease	This report provides users the ability to see all charges that have an open balance based on the 'As of' date (Period) of the report so that they can review payment allocations if necessary.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	open_charges_by_lease	Entrata Core			Financial Operations - Customer Transactions	Property Ops Experience	
Open Periods Details	Open Periods Details	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	System	Reports	open_period_details	No Product Requirement			Financial Operations - Customer Transactions	Property Ops Experience	
Operating Statement	Based on the Income Statement GL tree, the Operating Statement provides valuable operating metrics and comparisons that help assess performance in the current period and over time.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	operating_statement	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
Operations Summary	This report provides the user with a summary view of Availability, Rent Analysis, and Make Ready.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	operations_summary	Entrata Core				N/A	
Optimal Rent	This report allows users of the Revenue Management product view optimal rent values for units that are available and compare them to market rents, executed rents, and advertised rents.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Pricing	Reports	optimal_rent	Revenue Intelligence with Consulting, Revenue Intelligence, Revenue Intelligence					
Other Eligible Tenant Detail	This report works in conjunction with the Occupancy by Rank report in which it provides further details into Other Eligible Tenants living within the military installation. This report is part of the Schedule G reporting packet.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	other_eligible_tenant_detail	Entrata Military				N/A	
Other Income	This report will give a single location where you can see all of the information regarding Other Income profiles including contact and ledger information.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	other_income	Entrata Core			Resident Operations - Workflows	Property Ops Experience	
Ownership	The Ownership report is designed to help clients quickly see which owners are getting paid when a distribution is made at a property. The second view helps clients ensure that each of their owners are setup correctly (i.e. ownership % of the legal entity).	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	ownership	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
Packages	This report gives an overview of all packages that have been delivered to the selected property or properties.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	packages	ParcelAlert			Lobby Display/Parcel Alert	Resident XP	
Payment Adoption By Type	The Payment Adoption By Type report will allow you to measure the adoption of paperless payments for your property(ies).You will be able to see a unit, lease and transaction count, as well as a percentage breakdown in this report.This information will better help you compare numbers for each payment type and allow you to see how many of your residents are paying using paperless payment options. The Payment Adoption report does not include data for payments made via Prospect Portal, i.e application payments, admin fees, ect.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Payments	Reports	payment_adoption_by_type	No Product Requirement			Financial Operations - Payments	Property Ops Experience	
Payment Calls	The Payment Calls report is used for tracking phone verification for Visa payments. It will display details of calls that were made. Details of the report include: activation ID, phone number used to verify, verification status, and the call time stamp.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Payments	Reports	payment_calls	ResidentPay			Financial Operations - Payments	Property Ops Experience	
Payment Details	The Payment Details report will allow you to view payment details sorted by the filters selected. It will help you to find payments, check statuses in bulk, and more.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Payments	Reports	payment_details	No Product Requirement			Financial Operations - Payments	Property Ops Experience	
Payment Returns	The Payment Returns Report allows users to pull data for returned payments. It will allow the property to keep an eye on payments that are returned and help to make sure that necessary action is taken.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Payments	Reports	payment_returns	No Product Requirement			Financial Operations - Payments	Property Ops Experience	
Payments In Transit	The Payments in Transit report displays a list of all of the payments that have been received but are not yet deposited within the system. The report is useful for reconciliation purposes and to verify payments that are pending deposit.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Payments	Reports	payments_in_transit	Entrata Core			Financial Operations - Customer Transactions	Property Ops Experience	
Payments With Donation	The Payments With Donations report will show a summary of donations collected. It can be listed by property or charity and will display the number of donations and total donation amount.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Payments	Reports	payments_with_donation	No Product Requirement			Financial Operations - Payments	Property Ops Experience	
Percent Rent	This report will display the sales amount posted by the tenant for a certain period alongside the threshold amount, percent rent rate, and the amount posted to the ledger. The period lengths can be altered to fit tenant and owner needs.  This report will also display the sales amounts for current and prior periods, and for multiple properties.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	percent_rent	Entrata Core				N/A	
Permanent Change of Station	This report will help track where service members are relocating to as well as allow you to share this information with housing partners at their new installation. Currently, only clients that have access to the military product can use this report.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	permanent_change_of_station	Entrata Military			Resident Operations - Sub-Vertical - Military	Property Ops Experience	
Permission Exceptions	This report will show the exceptions users have that are outside of group settings	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	System	Reports	permission_exceptions	No Product Requirement				N/A	
Portfolio Meter Health	The Portfolio Meter Health report shows how many issues/flags each meter is getting and the overall health of the meters.	Utilities Expense Recapture	Jeanine Miller	#ask-utilities-expense-recapture	Utilities	Reports	portfolio_meter_health	ResidentUtility			Utilities (UEM/UEO/RU)	Tech-Enabled Services	
Portfolio Performance	The Portfolio Performance report shows the provider expenses and residents expenses for each utility service type.	Utilities Expense Recapture	Jeanine Miller	#ask-utilities-expense-recapture	Utilities	Reports	portfolio_performance	ResidentUtility				N/A	
Positive Pay	The Positive Pay report allows you to see which checks have been exported for positive pay.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	positive_pay	No Product Requirement			Financial Operations - Payments	Property Ops Experience	
Posting Tool History	The Posting Tool History report allows you to view historical data on social media posts that have been created within the selected date range; specifically, the message posted, if an image was attached, which social media outlet, and the date of when it was posted. Currently, only clients that have the Reputation Advisor product can use this report.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	posting_tool_history	ReputationAdvisor			Marketing Strategy Hub	Marketing	
Pre-Lease	The purpose of this report is to allow you to be able to generate a list of future effective leases based on a certain point, or range, in time. This allows for forecasted planning of future move-ins and renewals. Currently, only clients that have Entrata Core can use this report.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	pre_lease	Entrata Core	6-10		Resident Operations - Sub-Vertical - Student	Property Ops Experience	
Prebill	The Prebill report provides a preview of what will actually be billed to each resident within the selected properties based on the selected post month. This is designed to be a forward-looking report, typically, and most commonly to be used to view the upcoming Post Month billings.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	prebill	Entrata Core	21-30		Financial Operations - Billing	Property Ops Experience	
Precise ID Verification	This report will display the number of applicants who have gone through Precise ID and their results.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	precise_id_verification_new	No Product Requirement					
Preferred Amenities	This report will show the Preferred Amenities and Actual Amenities for each listed lead.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	preferred_amenities	No Product Requirement			Resident Operations - Sub-Vertical - Student	Property Ops Experience	
Prepayments and Deposit Refunds	The Prepayments and Deposit Refunds report provides you with valuable information concerning prepayment refunds and deposit refunds based on a single post month or over a span of time (post month range).	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Core (AP)	prepayments_and_deposit_refunds	Entrata Core			Financial Operations - Customer Transactions	Property Ops Experience	
Pricing Audit	This usage of the Pricing Audit report varies depending on what view you're looking at: The Variance view shows what the leasing agents are actually getting for the unit. When you advertise a specific price it does not necessarily mean you're getting that price for the unit. This view will show you what the units are actually leasing for. The Acceptance view gives you an inside view on what the Entrata Pricing tool is suggesting the price be for specific units and what is actually being posted. This view shows the frequency of price changes from what the tool recommends. Not only is this view beneficial for your use, but it also allows for Entrata to see if any settings need to be adjusted in order to get the prices more to what you are wanting.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Pricing	Reports	pricing_audit	Revenue Intelligence with Consulting, Student Revenue Intelligence with Consulting			Entrata Pricing	N/A	
Pricing Audit (Student)	The business purpose of this report is different from what view the client is looking at. The variance view is to know what the leasing agents are actually getting for the unit. When they advertise a specific price it does not necessarily mean they are getting that price for the unit. This view of the report will give them a view on what the units are actually leasing for. The acceptance view will give the client an insight view on what we are suggesting the price be for specific units and what is actually being posted. This will give an insight view on how much prices are being changed from what we recommend. Not only is this a view for the property and company, but for Entrata to see if any settings need to be adjusted in order to get the prices more to what the clients want.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Pricing	Reports	pricing_audit_(student)	Revenue Intelligence with Consulting, Student Revenue Intelligence with Consulting			Student Pricing	N/A	
Pricing Performance Analysis	The Pricing Performance Analysis report shows an overall view of how a specific property is performing regarding pricing. The performance numbers are broken up between new leases, renewal leases, and an executive analysis. This report gives values such as rent per executed sqft and average vacant days to help guide pricing decisions. Please Note: This report requires your company to use the Entrata Pricing product to be able to access this report.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Pricing	Reports	pricing_lease_performance_analysis	No Product Requirement			Entrata Pricing	N/A	
Privacy Requests	Applicants and Residents, under certain law, have the right to request what personal identifiable information (PII) is stored  and they can also request it to be removed. This includes things like name, date of birth, social security number, gender, etc. These requests are submitted by the applicant or resident to the property. The property then reviews those request and sends a request to Entrata to gather the PII data, or remove the PII data	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	privacy_requests	No Product Requirement			Unsure	Unsure	
Project Occupancy	This report is issued by Army bases/installations in order to report on installation occupancy values on a quarterly basis. This report is one that is included in the 'PAM' report packet. Currently, only clients that have access to the military product can use this report.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	project_occupancy	Entrata Military				N/A	
Property Addresses	This report provides the user a high-level view of each selected property to view their address, owner, and timezone. This report is best served for regional and higher personel that deal with multiple properties. Currently, there are no required permissions needed in order to use this report.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	property_addresses	No Product Requirement				N/A	
Property Attribute	This report allows users to be able to generate a report showing summary review information specifically focusing on the positive/negative attributes that were given during the reviews for the given period. Currently, only clients that have the Reputation Advisor product can use this report.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	System	Reports	property_attribute	ReputationAdvisor					
Property Billing	The Property Billing report will show a summary of all the utility charges and a breakdown for each resident for a property.	Utilities Expense Recapture	Jeanine Miller	#ask-utilities-expense-recapture	Utilities	Reports	property_billing	ResidentUtility				N/A	
Property Checklists	This report allows you to see the Move-In/Move-Out Board progress across all of your checklist enabled properties.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	property_checklists	No Product Requirement				N/A	
Property Closings	This report provides an overview of the current AR, AP, and GL period, for all selected properties.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Reports	property_closings	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
Property Comparison	The Property Comparison report displays the Net Change for the specified period by GL Account, for multiple properties in a by property format.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	property_comparison	No Product Requirement			Financial Operations - General Accounting	Property Ops Experience	
Property Directory	The purpose of this report is to provide the current user with a high-level listing of their Buildings and Units to ensure that each is appropriately setup within Entrata.  This is a report will display data at a property level and is best used at an executive level	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	property_directory	No Product Requirement				N/A	
Property Groups	The Property Groups report will list the properties that are assigned to the Property Groups selected within the Property Groups filter.  This report is designed to validate that your property groups have been configured properly and are up to date should properties be added or removed from any specific group.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	System	Reports	property_group	Entrata Core				N/A	
Property Merchant Accounts	The Property Merchant Accounts report will list out all the merchant accounts per property.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	System	Reports	property_merchant_accounts	No Product Requirement				N/A	
Property Meter Health	The Property Meter Health report takes a look at the health of the meters for a property. It returns info on any flag or issues with the meters at a property.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Utilities	Reports	property_meter_health	ResidentUtility			Utilities (UEM/UEO/RU)	Tech-Enabled Services	
Property Payment Transfers	The Property Payment Transfers report assists in tracking payments that are transferred from one property to another.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Payments	Reports	property_payment_transfers	No Product Requirement			Financial Operations - Payments	Property Ops Experience	
Property Payments	Payment Data by Property	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	property_payments	No Product Requirement				N/A	
Property Performance	Property Performance Report. Report excludes Other Income profiles.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	property_performance	No Product Requirement				N/A	
Property Preferences	The Property Preferences report will show each property and the current configurations of various property-level settings.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	System	Reports	property_preferences	No Product Requirement				N/A	
Property Product Usage	Contract information on a property and product basis.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	property_product_usage	No Product Requirement				N/A	
Property Pulse	This report gives a high-level overview of what is happening on various properties with concerns to leads, applications, lease changes/events, turn over, etc. This information enables you to get a quick understanding on how the properties are doing with regards to these data elements. Currently, there are no required permissions to access and use this report.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	property_pulse	Entrata Core, LeaseExecution, LeadManager	21-30		Unsure	Unsure	
Property Ratings	This report will provide you with information regarding all the reviews that have been filled out and the ratings that residents have given for the selected properties. Only clients that have the reputation advisor product can access and use the report.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	property_ratings	No Product Requirement			Marketing Strategy Hub	Marketing	
Property Setting Changes	Shows setting changes that were recorded in property_setting_logs.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	System	Reports	property_settings	No Product Requirement				N/A	
Property Website Domains	The Property Website Domains report shows the active websites and the subdomains for each property.  You can also display inactive websites for historical reference.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	System	Reports	property_website_domains	No Product Requirement			Prospect Portal	Marketing	
